programID,programName,prgmDescription,locationID,programType,empID
42,,"Reprimique non potest, ut propemodum iustioribus utamur illis, qui omnino avocent a philosophia, quam his.",42,Internship,42
43,Wildlife Conservation in South Africa,"Occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est voluptatem et.",43,Extracurricular Activities,43
44,,"Eventurum sit provident ob eamque debilitatem animi multi parentes, multi amicos, non nulli patriam, plerique autem se ipsos amentur. Etenim si loca, si fana.",44,Extracurricular Activities,44
45,,"Non deseruisse mihi videor praesidium, in quo nihil nec summum nec infimum nec medium nec ultimum nec extremum sit, ita ferri, ut concursionibus inter se dissident atque discordant, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo filio adhibuit, quem in adoptionem D. Silano emancipaverat, ut eum.",45,Study Abroad,45
46,Human Rights Advocacy in Mexico,Provident ob eamque causam propter voluptatem et dolorem. Ad haec et quae vel aliter pararetur et qua etiam carere possent sine dolore tum in.,46,Extracurricular Activities,46
47,Political Science in Argentina,"Faciendumve sit, sed stare etiam oportet in eo, quod sit a dolore corporis praesenti futurove seiunctum. Nec vero hoc oratione solum, sed multo magis vita et factis et moribus comprobavit.",47,Service Learning,47
48,,Nam neque laborum perfunctio neque.,48,Extracurricular Activities,48
49,,"Intellegerem, sed quid probarem. Quid igitur.",49,Internship,49
50,,Hoc honesto nullam requirere voluptatem atque ad beate vivendum se ipsa allicit nec.,50,Language Learning,50
51,Ecosystem Dynamics in Madagascar,"Deterret --, sic isti curiosi, quos offendit noster minime nobis iniucundus labor. Iis igitur est non miser. Accedit etiam mors, quae quasi saxum Tantalo semper impendet.",51,Exchange,51
52,Technology and Society in Sweden,"Nulli patriam, plerique autem se ipsos penitus perdiderunt, sic robustus animus et a.",52,Language Learning,52
53,,"Curiosi, quos offendit noster minime nobis iniucundus labor. Iis igitur est non miser. Accedit.",53,Language Learning,53
54,Global Business Strategies,"Praesenti nec expectata voluptate, quid eo miserius dici aut fingi potest? Quodsi vita doloribus referta maxime.",54,Service Learning,54
55,,"Alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum vita nulla est intercapedo molestiae. Igitur neque stultorum.",55,Field Study,55
56,,Tantum studium tamque multam operam ponendam in eo quoque elaborare.,56,Internship,56
57,,"Singulos homines, sed universas familias evertunt, totam etiam labefactant saepe rem publicam. Ex cupiditatibus odia, discidia, discordiae, seditiones, bella nascuntur, nec eae se foris solum iactant nec tantum in alios caeco impetu incurrunt, sed intus etiam in animis nostris inesse notionem, ut alterum esse appetendum, alterum aspernandum sentiamus. Alii autem, quibus ego.",57,Study Abroad,57
58,,"Graeca anteponant iis, quae et a spe.",58,Service Learning,58
59,Public Health in Brazil,"Inquam, fallare, Torquate. Oratio me istius philosophi non offendit; nam et laetamur amicorum laetitia.",59,Field Study,59
60,Photography and Visual Culture in Portugal,"Dicit, omnium rerum, quas ad beate vivendum.",60,Exchange,60
