alertID,locationID,message,datePosted
83,58,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-06-14 23:19:49
84,44,Reminder: Curfew in place from 11 PM to 5 AM for safety reasons.,2024-09-04 02:14:00
85,23,Fire drill scheduled for 3 PM today. Proceed to the nearest exit when alarm sounds.,2024-11-21 08:53:41
86,32,Online scam alert: Be wary of unsolicited emails asking for personal information.,2024-02-01 20:46:59
87,25,Flash flood warning in effect. Avoid low-lying areas and seek higher ground.,2024-10-19 22:26:32
88,50,Security incident reported in the vicinity. Avoid the area and follow local guidance.,2024-11-13 05:27:22
89,8,Heatwave expected over the next few days. Stay hydrated and avoid excessive outdoor activities.,2024-08-16 02:45:29
90,53,Extreme heat alert issued. Cooling centers available at designated locations.,2024-04-10 19:39:42
91,59,Air quality alert: High levels of pollution expected. Limit outdoor activities.,2024-06-06 13:23:24
92,47,Air quality alert: High levels of pollution expected. Limit outdoor activities.,2024-04-25 11:49:38
93,10,Concert in the park cancelled due to unexpected weather conditions.,2024-09-24 16:03:36
94,10,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-01-11 08:38:38
95,25,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-10-14 20:52:46
96,16,Protest march expected downtown. Plan your travel accordingly and avoid affected roads.,2024-11-21 04:29:49
97,42,Safety alert: Increase in petty theft incidents. Be cautious of your belongings.,2024-09-06 20:20:25
98,50,Typhoon warning: Stock up on essentials and stay updated on weather conditions.,2024-01-26 12:35:56
99,28,Safety alert: Increase in petty theft incidents. Be cautious of your belongings.,2024-10-15 21:56:48
100,50,Classes moved online due to power outage. Check your email for further instructions.,2024-01-25 02:52:14
